SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
Albany International Corp. (NYSE:AIN),4991769,NYSE,Industrials,"1,654.20",3,2.59,2.67,2.67,2.65,2.95,2.18,-0.37,06/03/2026
Albemarle Corporation (NYSE:ALB),4121019,NYSE,Materials,"19,125.43",17,7.81,-0.75,-0.98,8.38,12.68,0.85,-9.72,06/03/2026
"Albertsons Companies, Inc. (NYSE:ACI)",5309457,NYSE,Consumer Staples,"9,132.24",21,2.15,2.15,2.15,2.14,2.28,2.10,1.74,06/03/2026
Alcoa Corporation (NYSE:AA),4796000,NYSE,Materials,"15,738.04",11,4.99,4.97,3.45,4.77,6.87,4.07,5.90,06/03/2026
"Alexandria Real Estate Equities, Inc. (NYSE:ARE)",111908,NYSE,Real Estate,"8,791.53",5,0.05,0.03,-1.84,0.09,0.18,-0.14,-371.51,06/03/2026
Alibaba Group Holding Limited (NYSE:BABA),4279124,NYSE,Consumer Discretionary,"292,375.99",33,6.10,6.17,6.56,5.72,8.81,4.11,0.17,06/03/2026
"Align Technology, Inc. (NASDAQGS:ALGN)",4811737,NASDAQGS,Health Care,"12,403.09",17,11.29,11.28,10.20,11.24,12.05,11.06,3.14,06/03/2026
"Alignment Healthcare, Inc. (NASDAQGS:ALHC)",27851507,NASDAQGS,Health Care,"3,767.23",4,0.44,0.23,0.21,0.45,0.49,0.36,39.13,06/03/2026
"Alkami Technology, Inc. (NASDAQGS:ALKT)",5198840,NASDAQGS,Information Technology,"1,810.89",8,0.81,0.52,0.52,0.81,0.93,0.68,-59.62,06/03/2026
Alkermes plc (NASDAQGS:ALKS),4812385,NASDAQGS,Health Care,"4,771.19",14,-0.67,1.47,1.48,-0.70,-0.20,-0.81,-3.38,06/03/2026
Allegiant Travel Company (NASDAQGS:ALGT),4994472,NASDAQGS,Industrials,"1,453.34",12,8.38,8.38,2.91,8.26,9.00,8.00,29.25,06/03/2026
Allegion plc (NYSE:ALLE),4987299,NYSE,Industrials,"12,953.70",12,8.80,8.18,8.18,8.79,9.10,8.70,-0.49,06/03/2026
"Allegro MicroSystems, Inc. (NASDAQGS:ALGM)",5040682,NASDAQGS,Information Technology,"5,916.34",12,0.53,0.53,0.52,0.53,0.56,0.52,4.35,06/03/2026
Alliance Laundry Holdings Inc. (NYSE:ALH),6996682,NYSE,Industrials,"4,098.03",8,0.94,0.94,0.94,0.97,1.05,0.76,NA,06/03/2026
"Alliance Resource Partners, L.P. (NASDAQGS:ARLP)",4098794,NASDAQGS,Energy,"3,410.74",3,2.51,2.51,2.43,2.56,2.60,2.37,1.27,06/03/2026
