SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
Insmed Incorporated (NASDAQGS:INSM),4810503,NASDAQGS,Health Care,"30,205.29",19,-2.70,-5.83,-6.16,-2.74,-0.55,-5.12,-10.12,06/03/2026
"Inspire Medical Systems, Inc. (NYSE:INSP)",5176271,NYSE,Health Care,"1,800.84",13,2.02,1.56,1.60,2.04,2.17,1.74,55.13,06/03/2026
"Installed Building Products, Inc. (NYSE:IBP)",4985176,NYSE,Consumer Discretionary,"8,202.12",14,11.30,10.93,10.91,11.31,12.33,10.34,4.67,06/03/2026
Insulet Corporation (NASDAQGS:PODD),4811052,NASDAQGS,Health Care,"16,684.52",24,6.35,4.89,4.89,6.34,6.50,6.19,1.64,06/03/2026
"Intapp, Inc. (NASDAQGS:INTA)",5131475,NASDAQGS,Information Technology,"2,235.81",5,-0.31,-0.31,-0.20,-0.32,-0.24,-0.40,23.33,06/03/2026
Integer Holdings Corporation (NYSE:ITGR),4812583,NYSE,Health Care,"2,891.25",9,6.48,6.34,6.34,6.49,6.60,6.32,0.95,06/03/2026
Intel Corporation (NASDAQGS:INTC),4025746,NASDAQGS,Information Technology,"216,882.90",41,0.48,0.48,0.34,0.45,1.00,0.28,23.53,06/03/2026
"Intellia Therapeutics, Inc. (NASDAQGM:NTLA)",4811109,NASDAQGM,Health Care,"1,587.71",21,-3.56,-4.00,-3.97,-3.65,-1.94,-4.20,4.75,06/03/2026
"Inter & Co, Inc. (NASDAQGS:INTR)",4403916,NASDAQGS,Financials,"3,539.40",6,0.81,0.57,0.58,0.80,0.85,0.79,0.00,06/03/2026
"Interactive Brokers Group, Inc. (NASDAQGS:IBKR)",4153870,NASDAQGS,Financials,"29,710.84",9,2.44,2.45,2.12,2.47,2.54,2.26,2.82,06/03/2026
"Intercontinental Exchange, Inc. (NYSE:ICE)",4099823,NYSE,Financials,"94,378.72",14,7.66,7.55,6.91,7.63,7.96,7.44,0.43,06/03/2026
"InterDigital, Inc. (NASDAQGS:IDCC)",4103938,NASDAQGS,Information Technology,"9,171.72",4,9.85,9.85,15.06,9.81,11.03,8.77,1.66,06/03/2026
"Interface, Inc. (NASDAQGS:TILE)",4994421,NASDAQGS,Industrials,"1,631.09",3,2.10,1.86,1.85,2.11,2.15,2.05,4.30,06/03/2026
International Business Machines Corporation (NYSE:IBM),4000193,NYSE,Information Technology,"242,810.21",18,12.41,12.41,11.35,12.40,12.94,12.15,2.11,06/03/2026
International Flavors & Fragrances Inc. (NYSE:IFF),4985791,NYSE,Materials,"18,846.57",18,4.45,4.25,4.27,4.46,4.87,4.15,-1.18,06/03/2026
International Paper Company (NYSE:IP),4060689,NYSE,Materials,"20,929.93",10,1.68,1.77,0.20,1.62,2.06,1.35,-211.11,06/03/2026
"International Seaways, Inc. (NYSE:INSW)",4805115,NYSE,Energy,"3,579.05",3,5.16,4.96,4.80,5.61,6.06,3.80,9.27,06/03/2026
"Interparfums, Inc. (NASDAQGS:IPAR)",4913056,NASDAQGS,Consumer Staples,"3,032.68",5,4.91,5.16,5.12,4.87,5.05,4.79,1.55,06/03/2026
Intuit Inc. (NASDAQGS:INTU),4048157,NASDAQGS,Information Technology,"133,067.56",34,23.20,23.21,23.20,23.15,24.06,22.70,0.25,06/03/2026
"Intuitive Machines, Inc. (NASDAQGM:LUNR)",28587405,NASDAQGM,Industrials,"2,103.61",6,-0.40,-0.40,-0.39,-0.45,-0.25,-0.48,-101.30,06/03/2026
"Intuitive Surgical, Inc. (NASDAQGS:ISRG)",4410647,NASDAQGS,Health Care,"174,070.64",30,10.02,10.02,8.64,10.01,10.65,9.70,3.00,06/03/2026
InvenTrust Properties Corp. (NYSE:IVT),4098709,NYSE,Real Estate,"2,418.78",4,0.20,1.44,1.45,0.21,0.23,0.16,-1.39,06/03/2026
Invesco Ltd. (NYSE:IVZ),103661,NYSE,Financials,"10,501.76",11,2.67,2.68,1.98,2.67,2.81,2.51,2.01,06/03/2026
Invitation Homes Inc. (NYSE:INVH),4426247,NYSE,Real Estate,"15,972.01",12,0.73,0.90,0.90,0.71,0.96,0.59,6.67,06/03/2026
"Ionis Pharmaceuticals, Inc. (NASDAQGS:IONS)",4106589,NASDAQGS,Health Care,"12,230.82",7,-3.24,-1.69,-1.61,-3.22,-3.05,-3.39,7.23,06/03/2026
"IonQ, Inc. (NYSE:IONQ)",6910410,NYSE,Information Technology,"13,100.07",6,-1.98,-4.15,-3.87,-2.01,-1.19,-2.55,56.14,06/03/2026
"Iovance Biotherapeutics, Inc. (NASDAQGM:IOVA)",4811516,NASDAQGM,Health Care,"2,113.36",8,-0.50,-1.08,-1.08,-0.52,-0.25,-0.65,-0.93,06/03/2026
IPG Photonics Corporation (NASDAQGS:IPGP),4966118,NASDAQGS,Information Technology,"5,092.50",7,1.77,1.22,1.17,1.70,2.30,1.50,17.36,06/03/2026
"iQIYI, Inc. (NASDAQGS:IQ)",5191960,NASDAQGS,Communication Services,"1,386.66",12,0.10,0.03,0.02,0.10,0.14,0.02,20.83,06/03/2026
IQVIA Holdings Inc. (NYSE:IQV),4326091,NYSE,Health Care,"29,291.00",23,12.69,12.69,11.89,12.70,12.84,12.55,0.00,06/03/2026
IREN Limited (NASDAQGS:IREN),27845249,NASDAQGS,Information Technology,"12,194.69",13,0.39,0.48,1.02,0.52,1.11,-0.99,160.00,06/03/2026
"iRhythm Holdings, Inc. (NASDAQGS:IRTC)",4971010,NASDAQGS,Health Care,"3,994.03",9,-0.27,-1.25,-1.22,-0.19,-0.04,-0.58,17.60,06/03/2026
Iridium Communications Inc. (NASDAQGS:IRDM),4217413,NASDAQGS,Communication Services,"2,520.01",7,1.12,1.07,1.07,1.10,1.30,0.91,-0.93,06/03/2026
Iron Mountain Incorporated (NYSE:IRM),4094831,NYSE,Real Estate,"31,115.95",6,2.31,2.04,2.04,2.41,2.50,1.91,3.92,06/03/2026
"Itron, Inc. (NASDAQGS:ITRI)",4092673,NASDAQGS,Information Technology,"4,100.89",11,6.03,6.86,6.86,6.00,6.33,5.88,3.94,06/03/2026
ITT Inc. (NYSE:ITT),4022445,NYSE,Industrials,"15,960.74",12,7.32,7.30,6.66,7.23,8.08,6.95,1.20,06/03/2026
"J.B. Hunt Transport Services, Inc. (NASDAQGS:JBHT)",4994170,NASDAQGS,Industrials,"20,187.57",23,7.22,7.22,5.98,7.20,7.50,6.99,1.32,06/03/2026
J&J Snack Foods Corp. (NASDAQGS:JJSF),4911217,NASDAQGS,Consumer Staples,"1,640.16",3,4.36,4.34,4.52,4.35,4.41,4.33,8.93,06/03/2026
Jabil Inc. (NYSE:JBL),4069059,NYSE,Information Technology,"25,457.96",8,11.60,11.60,11.10,11.57,11.69,11.55,3.61,06/03/2026
"Jack Henry & Associates, Inc. (NASDAQGS:JKHY)",3008229,NASDAQGS,Financials,"12,400.52",7,6.46,6.46,6.28,6.45,6.64,6.37,0.68,06/03/2026
Jacobs Solutions Inc. (NYSE:J),4004212,NYSE,Industrials,"16,065.54",16,7.15,7.15,7.09,7.15,7.40,6.92,1.16,06/03/2026
Janus Henderson Group plc (NYSE:JHG),4147331,NYSE,Financials,"7,910.94",7,4.48,4.40,3.96,4.41,5.02,4.28,19.50,06/03/2026
Jazz Pharmaceuticals plc (NASDAQGS:JAZZ),4812460,NASDAQGS,Health Care,"11,204.60",15,23.65,8.20,8.11,23.50,26.23,21.89,2.32,06/03/2026
JBT Marel Corporation (NYSE:JBTM),4991954,NYSE,Industrials,"7,732.87",6,8.21,6.27,6.27,8.25,8.30,8.02,2.23,06/03/2026
"JD.com, Inc. (NASDAQGS:JD)",4830494,NASDAQGS,Consumer Discretionary,"37,058.13",28,2.96,2.50,2.66,2.94,3.64,2.42,-0.56,06/03/2026
Jefferies Financial Group Inc. (NYSE:JEF),103464,NYSE,Financials,"7,908.75",6,4.26,4.26,3.00,4.21,4.61,3.95,-4.39,06/03/2026
JetBlue Airways Corporation (NASDAQGS:JBLU),4158264,NASDAQGS,Industrials,"1,659.99",15,-0.93,-0.94,-1.59,-0.95,-0.65,-1.15,-1.86,06/03/2026
JFrog Ltd. (NASDAQGS:FROG),5242460,NASDAQGS,Information Technology,"4,854.54",20,0.90,0.79,0.79,0.90,0.92,0.88,3.80,06/03/2026
"JinkoSolar Holding Co., Ltd. (NYSE:JKS)",4408960,NYSE,Information Technology,"1,205.57",5,0.32,-6.98,-6.88,0.31,3.34,-3.31,NA,06/03/2026
"Joby Aviation, Inc. (NYSE:JOBY)",9992057,NYSE,Industrials,"9,352.64",9,-0.87,-1.20,-1.21,-0.87,-0.80,-0.94,6.61,06/03/2026
Johnson & Johnson (NYSE:JNJ),4044333,NYSE,Health Care,"579,339.70",24,11.53,11.53,10.86,11.54,11.68,11.43,-0.19,06/03/2026
Johnson Controls International plc (NYSE:JCI),5234450,NYSE,Industrials,"81,037.57",20,4.75,4.74,4.59,4.75,4.85,4.65,1.35,06/03/2026
Joint Stock Company Kaspi.kz (NASDAQGS:KSPI),14887727,NASDAQGS,Financials,"14,156.21",1,10.47,11.07,10.90,10.47,10.47,10.47,NA,06/03/2026
Jones Lang LaSalle Incorporated (NYSE:JLL),113071,NYSE,Real Estate,"14,019.83",9,21.87,17.40,17.36,21.68,22.85,21.21,7.86,06/03/2026
JPMorgan Chase & Co. (NYSE:JPM),100201,NYSE,Financials,"780,736.93",12,21.91,21.53,20.05,21.82,22.74,21.14,-1.40,06/03/2026
Kadant Inc. (NYSE:KAI),4992405,NYSE,Industrials,"3,900.52",4,11.58,9.19,9.19,11.54,12.78,10.45,0.76,06/03/2026
Kanzhun Limited (NASDAQGS:BZ),28997296,NASDAQGS,Industrials,"7,006.79",19,1.08,1.08,1.08,1.08,1.14,1.02,0.50,06/03/2026
Karman Holdings Inc. (NYSE:KRMN),106386696,NYSE,Industrials,"13,303.70",10,0.36,0.36,0.36,0.37,0.40,0.34,10.00,06/03/2026
KB Home (NYSE:KBH),4094395,NYSE,Consumer Discretionary,"3,650.80",9,4.18,4.18,6.41,4.13,4.95,3.60,5.15,06/03/2026
"KBR, Inc. (NYSE:KBR)",4236367,NYSE,Industrials,"5,058.17",9,4.02,3.81,3.81,4.01,4.19,3.84,3.15,06/03/2026
KE Holdings Inc. (NYSE:BEKE),20079968,NYSE,Real Estate,"19,544.61",16,0.67,0.68,0.69,0.66,0.78,0.60,-10.82,06/03/2026
Kemper Corporation (NYSE:KMPR),103308,NYSE,Financials,"1,865.95",6,3.84,4.23,4.33,3.80,4.50,3.36,-13.67,06/03/2026
Kennametal Inc. (NYSE:KMT),4096035,NYSE,Industrials,"2,833.07",9,2.30,2.29,1.46,2.30,2.45,2.20,-3.60,06/03/2026
Kenvue Inc. (NYSE:KVUE),109390153,NYSE,Consumer Staples,"35,248.70",16,1.13,1.03,1.03,1.13,1.19,1.06,4.85,06/03/2026
"Kestra Medical Technologies, Ltd. (NASDAQGS:KMTS)",7727865,NASDAQGS,Health Care,"1,344.36",7,-2.31,-2.31,-2.15,-2.31,-2.23,-2.38,-89.30,06/03/2026
Keurig Dr Pepper Inc. (NASDAQGS:KDP),4547508,NASDAQGS,Consumer Staples,"38,382.32",13,2.23,2.04,2.04,2.30,2.43,1.82,0.49,06/03/2026
KeyCorp (NYSE:KEY),100334,NYSE,Financials,"21,640.40",18,1.80,1.80,1.47,1.80,1.88,1.75,1.35,06/03/2026
"Keysight Technologies, Inc. (NYSE:KEYS)",4972803,NYSE,Information Technology,"46,722.42",13,8.86,8.10,8.11,8.83,9.27,8.60,0.99,06/03/2026
Kilroy Realty Corporation (NYSE:KRC),108109,NYSE,Real Estate,"3,532.58",3,0.47,1.41,1.41,0.43,0.57,0.42,-1.42,06/03/2026
"Kimbell Royalty Partners, LP (NYSE:KRP)",6642859,NYSE,Energy,"1,362.43",1,0.56,0.67,0.75,0.56,0.56,0.56,7.46,06/03/2026
Kimberly-Clark Corporation (NASDAQGS:KMB),4060881,NASDAQGS,Consumer Staples,"34,712.44",15,7.58,7.58,7.49,7.57,7.71,7.50,0.67,06/03/2026
Kimco Realty Corporation (NYSE:KIM),102965,NYSE,Real Estate,"15,692.27",8,0.78,0.77,0.75,0.78,0.81,0.73,6.49,06/03/2026
"Kinder Morgan, Inc. (NYSE:KMI)",4275772,NYSE,Energy,"74,709.00",17,1.36,1.36,1.29,1.37,1.44,1.28,1.56,06/03/2026
Kingsoft Cloud Holdings Limited (NASDAQGS:KC),5288099,NASDAQGS,Information Technology,"3,602.82",6,-0.56,-0.56,-0.59,-0.54,-0.53,-0.67,1.46,06/03/2026
"Kiniksa Pharmaceuticals International, plc (NASDAQGS:KNSA)",10455656,NASDAQGS,Health Care,"3,532.87",5,1.29,1.05,1.26,1.38,1.57,0.82,-29.25,06/03/2026
"Kinsale Capital Group, Inc. (NYSE:KNSL)",4252831,NYSE,Financials,"8,613.40",13,20.36,18.96,18.87,20.28,21.94,19.51,2.90,06/03/2026
Kirby Corporation (NYSE:KEX),4158601,NYSE,Industrials,"6,845.23",6,6.76,6.76,6.29,6.75,6.90,6.65,0.96,06/03/2026
Kite Realty Group Trust (NYSE:KRG),4092324,NYSE,Real Estate,"5,329.04",6,0.34,0.61,0.64,0.34,0.51,0.23,124.59,06/03/2026
KKR & Co. Inc. (NYSE:KKR),4165107,NYSE,Financials,"81,425.34",19,6.55,6.65,5.13,6.59,7.03,5.95,-1.81,06/03/2026
KLA Corporation (NASDAQGS:KLAC),4069171,NASDAQGS,Information Technology,"176,239.06",30,36.46,36.42,35.80,36.43,37.32,35.11,2.31,06/03/2026
Klarna Group plc (NYSE:KLAR),10032308,NYSE,Financials,"5,190.73",7,0.14,NA,NA,-0.10,0.71,-0.17,NA,06/03/2026
"Klaviyo, Inc. (NYSE:KVYO)",5303886,NYSE,Information Technology,"6,394.16",23,0.83,0.65,0.65,0.83,0.88,0.78,3.08,06/03/2026
Knife River Corporation (NYSE:KNF),4095791,NYSE,Materials,"4,544.47",8,3.20,2.60,2.63,3.19,3.37,3.05,6.15,06/03/2026
Knight-Swift Transportation Holdings Inc. (NYSE:KNX),4994083,NYSE,Industrials,"9,237.16",19,1.90,1.90,1.34,1.87,2.27,1.65,-5.26,06/03/2026
Knowles Corporation (NYSE:KN),4972814,NYSE,Information Technology,"2,108.41",4,1.24,1.24,1.10,1.25,1.28,1.18,0.91,06/03/2026
Kodiak Sciences Inc. (NASDAQGM:KOD),5312027,NASDAQGM,Health Care,"1,540.61",6,-4.22,-4.22,-4.24,-4.30,-3.58,-4.49,2.05,06/03/2026
Kohl's Corporation (NYSE:KSS),4120239,NYSE,Consumer Discretionary,"1,696.30",14,1.40,1.39,1.38,1.40,1.60,1.25,15.38,06/03/2026
"Kontoor Brands, Inc. (NYSE:KTB)",14750985,NYSE,Consumer Discretionary,"4,214.23",8,6.48,5.50,5.49,6.49,6.50,6.45,1.64,06/03/2026
Korn Ferry (NYSE:KFY),4996551,NYSE,Industrials,"3,319.60",5,5.25,5.24,5.24,5.28,5.34,5.14,0.41,06/03/2026
Kosmos Energy Ltd. (NYSE:KOS),4290995,NYSE,Energy,"1,236.23",2,-0.23,-0.69,-0.64,-0.23,-0.15,-0.32,-8.96,06/03/2026
"Kratos Defense & Security Solutions, Inc. (NASDAQGS:KTOS)",4225417,NASDAQGS,Industrials,"16,247.92",17,0.78,0.52,0.53,0.76,0.90,0.70,5.77,06/03/2026
"Krystal Biotech, Inc. (NASDAQGS:KRYS)",7555494,NASDAQGS,Health Care,"7,415.91",9,7.90,6.81,6.31,8.04,9.59,5.78,0.29,06/03/2026
"Kulicke and Soffa Industries, Inc. (NASDAQGS:KLIC)",4165056,NASDAQGS,Information Technology,"3,216.51",3,2.62,2.62,1.50,2.68,2.68,2.51,50.00,06/03/2026
"Kymera Therapeutics, Inc. (NASDAQGM:KYMR)",9062112,NASDAQGM,Health Care,"6,816.32",20,-3.60,-3.48,-3.48,-3.64,-2.44,-4.21,-8.53,06/03/2026
"Kyndryl Holdings, Inc. (NYSE:KD)",29724772,NYSE,Information Technology,"2,973.65",5,1.78,2.22,2.32,1.69,2.17,1.65,4.39,06/03/2026
"L3Harris Technologies, Inc. (NYSE:LHX)",4104164,NYSE,Industrials,"68,474.05",19,11.77,11.69,10.65,11.60,12.58,11.26,0.75,06/03/2026
La-Z-Boy Incorporated (NYSE:LZB),4915501,NYSE,Consumer Discretionary,"1,414.73",3,2.63,2.71,2.71,2.63,2.68,2.58,-1.02,06/03/2026
Labcorp Holdings Inc. (NYSE:LH),4069312,NYSE,Health Care,"22,220.81",19,17.77,16.33,16.33,17.89,17.96,16.62,0.67,06/03/2026
Ladder Capital Corp (NYSE:LADR),4422251,NYSE,Financials,"1,302.87",7,1.06,1.07,0.94,1.05,1.15,1.00,-7.69,06/03/2026
Lakeland Financial Corporation (NASDAQGS:LKFN),100608,NASDAQGS,Financials,"1,437.16",5,4.28,4.31,3.90,4.29,4.40,4.16,2.82,06/03/2026
Lam Research Corporation (NASDAQGS:LRCX),4069378,NASDAQGS,Information Technology,"248,917.52",34,5.31,5.29,4.83,5.31,5.46,4.87,3.24,06/03/2026
Lamar Advertising Company (NASDAQGS:LAMR),4417220,NASDAQGS,Real Estate,"13,785.02",4,5.67,5.87,5.86,5.66,5.83,5.54,-1.70,06/03/2026
"Lamb Weston Holdings, Inc. (NYSE:LW)",4916646,NYSE,Consumer Staples,"6,392.64",9,2.75,2.74,3.06,2.71,3.09,2.62,7.37,06/03/2026
LandBridge Company LLC (NYSE:LB),117876626,NYSE,Real Estate,"2,015.21",4,2.52,1.86,1.85,2.18,3.83,1.91,-46.77,06/03/2026
"Landstar System, Inc. (NASDAQGS:LSTR)",4069282,NASDAQGS,Industrials,"5,170.80",18,5.34,5.30,4.52,5.31,5.99,5.10,-8.22,06/03/2026
"Lantheus Holdings, Inc. (NASDAQGM:LNTH)",4810271,NASDAQGM,Health Care,"4,687.80",13,5.19,5.57,5.59,5.15,5.66,5.00,8.96,06/03/2026
Las Vegas Sands Corp. (NYSE:LVS),4107929,NYSE,Consumer Discretionary,"36,012.63",14,3.15,3.17,2.91,3.24,3.52,1.94,2.73,06/03/2026
Lattice Semiconductor Corporation (NASDAQGS:LSCC),4079718,NASDAQGS,Information Technology,"11,693.85",14,1.56,1.05,1.05,1.55,1.75,1.50,0.00,06/03/2026
"Laureate Education, Inc. (NASDAQGS:LAUR)",4243255,NASDAQGS,Consumer Discretionary,"4,520.69",4,2.10,1.52,1.52,2.09,2.26,1.97,24.34,06/03/2026
"Lazard, Inc. (NYSE:LAZ)",4097347,NYSE,Financials,"4,192.05",10,3.65,3.65,2.51,3.68,4.15,3.18,2.52,06/03/2026
LCI Industries (NYSE:LCII),4914267,NYSE,Consumer Discretionary,"3,138.64",10,8.78,7.25,7.27,8.75,9.04,8.62,2.90,06/03/2026
Lear Corporation (NYSE:LEA),4014818,NYSE,Consumer Discretionary,"6,096.43",14,14.46,14.40,12.15,14.47,15.51,13.45,4.58,06/03/2026
"LegalZoom.com, Inc. (NASDAQGS:LZ)",5077131,NASDAQGS,Industrials,"1,153.39",9,0.73,0.64,0.64,0.73,0.83,0.64,-3.13,06/03/2026
Legend Biotech Corporation (NASDAQGS:LEGN),10088110,NASDAQGS,Health Care,"3,503.56",3,-1.35,-1.41,-1.33,-1.55,-0.88,-1.64,32.87,06/03/2026
"Leggett & Platt, Incorporated (NYSE:LEG)",4913013,NYSE,Consumer Discretionary,"1,444.38",4,1.09,1.04,1.05,1.10,1.10,1.07,0.96,06/03/2026
"Leidos Holdings, Inc. (NYSE:LDOS)",4276840,NYSE,Industrials,"22,483.99",10,12.13,11.82,11.79,12.16,12.36,11.85,1.44,06/03/2026
"LeMaitre Vascular, Inc. (NASDAQGM:LMAT)",4810826,NASDAQGM,Health Care,"2,446.17",8,2.89,2.42,2.42,2.90,2.92,2.81,3.70,06/03/2026
"Lemonade, Inc. (NYSE:LMND)",4861263,NYSE,Financials,"4,211.02",11,-1.67,-2.35,-2.37,-1.67,-1.51,-1.82,4.68,06/03/2026
LendingClub Corporation (NYSE:LC),4213397,NYSE,Financials,"1,689.70",8,1.73,1.73,1.15,1.73,1.78,1.65,1.75,06/03/2026
Lennar Corporation (NYSE:LEN),4054537,NYSE,Consumer Discretionary,"24,862.67",13,6.85,7.06,8.28,6.71,8.80,5.43,-1.83,06/03/2026
Lennox International Inc. (NYSE:LII),4021939,NYSE,Industrials,"18,009.46",19,24.26,24.25,22.94,24.25,25.52,23.26,1.18,06/03/2026
"Leonardo DRS, Inc. (NASDAQGS:DRS)",6617441,NASDAQGS,Industrials,"12,383.12",10,1.25,1.09,1.09,1.26,1.30,1.20,5.50,06/03/2026
Levi Strauss & Co. (NYSE:LEVI),3002455,NYSE,Consumer Discretionary,"7,653.16",15,1.47,1.47,1.32,1.46,1.54,1.45,0.75,06/03/2026
Li Auto Inc. (NASDAQGS:LI),21825918,NASDAQGS,Consumer Discretionary,"17,514.17",6,0.29,0.29,0.29,0.31,0.34,0.19,15.94,06/03/2026
Liberty Energy Inc. (NYSE:LBRT),6536582,NYSE,Energy,"4,342.98",5,-0.42,-0.46,-0.09,-0.37,-0.09,-0.78,314.29,06/03/2026
Liberty Global Ltd. (NASDAQGS:LBTY.A),4393370,NASDAQGS,Communication Services,"4,182.37",5,-1.51,-11.03,-9.73,-1.44,-1.32,-2.02,-89.12,06/03/2026
"Life Time Group Holdings, Inc. (NYSE:LTH)",6669298,NYSE,Consumer Discretionary,"5,627.19",6,1.66,1.51,1.46,1.64,1.71,1.62,-4.64,06/03/2026
"LifeStance Health Group, Inc. (NASDAQGS:LFST)",28960766,NASDAQGS,Health Care,"2,701.20",7,0.07,0.00,0.00,0.07,0.10,0.04,NA,06/03/2026
Ligand Pharmaceuticals Incorporated (NASDAQGM:LGND),4094028,NASDAQGM,Health Care,"4,026.12",8,5.40,4.43,4.28,4.99,7.44,3.88,38.37,06/03/2026
Lincoln Educational Services Corporation (NASDAQGS:LINC),4910792,NASDAQGS,Consumer Discretionary,"1,142.54",5,0.69,0.57,0.57,0.69,0.73,0.64,12.28,06/03/2026
"Lincoln Electric Holdings, Inc. (NASDAQGS:LECO)",4992787,NASDAQGS,Industrials,"14,365.58",11,10.82,9.75,9.75,10.86,11.25,10.44,1.23,06/03/2026
Lincoln National Corporation (NYSE:LNC),103362,NYSE,Financials,"6,470.68",13,8.05,7.90,7.88,8.05,8.33,7.61,4.18,06/03/2026
Linde plc (NASDAQGS:LIN),4062407,NASDAQGS,Materials,"224,625.68",28,17.83,17.80,16.43,17.86,18.05,17.60,0.30,06/03/2026
Lindsay Corporation (NYSE:LNN),4996319,NYSE,Industrials,"1,354.93",3,6.40,6.40,6.05,6.43,6.50,6.26,-1.60,06/03/2026
"Lineage, Inc. (NASDAQGS:LINE)",118457377,NASDAQGS,Real Estate,"8,969.67",4,-0.54,-0.57,-0.51,-0.58,-0.28,-0.73,24.56,06/03/2026
Lionsgate Studios Corp. (NYSE:LION),4121683,NYSE,Communication Services,"3,093.40",5,-0.26,-0.27,-0.21,-0.27,-0.24,-0.28,-60.00,06/03/2026
"Lithia Motors, Inc. (NYSE:LAD)",4914216,NYSE,Consumer Discretionary,"6,069.30",13,36.09,35.23,35.89,36.29,38.72,33.14,-5.02,06/03/2026
"Littelfuse, Inc. (NASDAQGS:LFUS)",4965581,NASDAQGS,Information Technology,"7,589.55",5,12.90,12.90,10.54,12.87,13.10,12.71,1.42,06/03/2026
LivaNova PLC (NASDAQGS:LIVN),4812404,NASDAQGS,Health Care,"3,491.40",10,4.21,3.86,3.86,4.21,4.25,4.19,1.04,06/03/2026
"Live Nation Entertainment, Inc. (NYSE:LYV)",4121693,NYSE,Communication Services,"36,279.65",17,1.57,-0.09,-0.01,1.53,2.40,0.73,-100.00,06/03/2026
"Live Oak Bancshares, Inc. (NYSE:LOB)",4226853,NYSE,Financials,"1,550.67",5,2.99,2.92,2.00,2.95,3.30,2.75,-6.57,06/03/2026
"LiveRamp Holdings, Inc. (NYSE:RAMP)",4048181,NYSE,Information Technology,"1,855.24",6,2.25,2.24,2.21,2.25,2.26,2.24,-1.16,06/03/2026
LKQ Corporation (NASDAQGS:LKQ),4286513,NASDAQGS,Consumer Discretionary,"8,029.01",9,3.04,3.11,3.12,3.07,3.15,2.90,-3.22,06/03/2026
Loar Holdings Inc. (NYSE:LOAR),117006880,NYSE,Industrials,"6,503.02",5,0.79,0.98,0.98,0.79,0.81,0.78,6.12,06/03/2026
Lockheed Martin Corporation (NYSE:LMT),4004271,NYSE,Industrials,"154,561.00",17,29.92,29.92,22.25,29.90,30.65,29.53,-0.97,06/03/2026
Loma Negra Compa¤¡a Industrial Argentina Sociedad An¢nima (NYSE:LOMA),6621839,NYSE,Materials,"1,149.46",1,0.46,0.32,0.52,0.46,0.46,0.46,-62.50,06/03/2026
Louisiana-Pacific Corporation (NYSE:LPX),4061160,NYSE,Materials,"5,425.82",10,2.84,2.60,2.67,2.82,3.15,2.59,1.92,06/03/2026
"Lowe's Companies, Inc. (NYSE:LOW)",4004318,NYSE,Consumer Discretionary,"141,298.06",30,12.62,12.26,12.27,12.60,12.93,12.37,0.16,06/03/2026
LPL Financial Holdings Inc. (NASDAQGS:LPLA),4158885,NASDAQGS,Financials,"25,109.56",9,19.14,19.06,10.90,19.77,21.82,15.15,1.87,06/03/2026
"Lucid Group, Inc. (NASDAQGS:LCID)",6475784,NASDAQGS,Consumer Discretionary,"3,201.48",6,-7.33,-9.64,-9.21,-7.08,-5.83,-9.21,-4.45,06/03/2026
Lucky Strike Entertainment Corporation (NYSE:LUCK),4092339,NYSE,Consumer Discretionary,"1,176.00",6,0.01,-0.02,0.03,0.04,0.20,-0.18,-148.15,06/03/2026
Lufax Holding Ltd (NYSE:LU),17064495,NYSE,Financials,"2,097.39",3,0.24,-0.62,-0.55,0.20,0.37,0.15,-23.11,06/03/2026
lululemon athletica inc. (NASDAQGS:LULU),4218591,NASDAQGS,Consumer Discretionary,"19,957.27",33,13.04,13.04,12.86,13.03,13.28,12.80,1.81,06/03/2026
"Lumen Technologies, Inc. (NYSE:LUMN)",4057179,NYSE,Communication Services,"6,781.33",6,-0.54,-0.47,-0.56,-0.67,0.12,-0.88,80.30,06/03/2026
Lumentum Holdings Inc. (NASDAQGS:LITE),4973038,NASDAQGS,Information Technology,"39,872.62",20,7.60,7.47,5.69,7.78,8.02,5.89,4.04,06/03/2026
"Lumexa Imaging Holdings, Inc. (NASDAQGS:LMRI)",10543458,NASDAQGS,Health Care,"1,399.57",3,-0.15,-0.02,NA,-0.15,-0.12,-0.17,NA,06/03/2026
LuxExperience B.V. (NYSE:LUXE),27456468,NYSE,Consumer Discretionary,"1,233.98",4,-0.55,-0.54,-0.58,-0.54,-0.33,-0.78,-25.93,06/03/2026
LXP Industrial Trust (NYSE:LXP),103128,NYSE,Real Estate,"2,815.61",2,0.13,1.07,1.07,0.13,0.29,-0.03,70.09,06/03/2026
"Lyft, Inc. (NASDAQGS:LYFT)",5174947,NASDAQGS,Industrials,"5,274.93",15,1.49,1.18,1.17,1.50,1.74,1.11,5.93,06/03/2026
LyondellBasell Industries N.V. (NYSE:LYB),4986300,NYSE,Materials,"21,620.83",19,2.89,2.56,2.52,2.61,4.87,2.07,-24.78,06/03/2026
